GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
gooseplayer2,com.gooseplayer2.Packages,Queue.new Iterator() {...},4,32,1,3,1,7,1,4,0,3
gooseplayer2,com.gooseplayer2.Packages,Cat,0,30,0,0,0,10,0,2,0,2
gooseplayer2,com.gooseplayer2.Packages,FileTransferHandler,2,81,2,6,1,16,2,6,0,4
gooseplayer2,com.gooseplayer2.Packages,Queue,19,250,12,32,2,66,12,24,0,14
gooseplayer2,com.gooseplayer2.Packages,Queue.Node,0,12,0,0,0,3,0,1,0,1
gooseplayer2,com.gooseplayer2.Packages,FileTransferHandler.FileTransferable,5,24,1,1,1,7,1,4,0,4
gooseplayer2,com.gooseplayer2.JPanels,MusicPlayer.new DefaultTreeCellRenderer() {...},0,44,0,4,0,6,0,4,0,2
gooseplayer2,com.gooseplayer2.JPanels,MusicPlayer.new MouseAdapter() {...},43,11,11,1,9,3,6,2,0,2
gooseplayer2,com.gooseplayer2.JPanels,MusicPlayer.new ActionListener() {...},0,14,1,1,0,4,1,2,0,2
gooseplayer2,com.gooseplayer2.JPanels,MusicPlayer.ShuffleListener,0,10,0,0,0,3,0,2,0,2
gooseplayer2,com.gooseplayer2.JPanels,RadioPlayer.StreamingUGen,174,0,26,0,31,0,18,0,5,0
gooseplayer2,com.gooseplayer2.JPanels,MusicPlayer.SkipListener,0,10,0,0,0,3,0,2,0,2
gooseplayer2,com.gooseplayer2.JPanels,MusicPlayer.ClearListener,0,10,0,0,0,3,0,2,0,2
gooseplayer2,com.gooseplayer2.JPanels,MusicPlayer.PlayPauseListener,0,18,0,2,0,5,0,3,0,2
gooseplayer2,com.gooseplayer2.JPanels,MusicPlayer.RemoveListener,0,10,0,0,0,3,0,2,0,2
gooseplayer2,com.gooseplayer2.JPanels,MusicPlayer,923,1787,135,109,252,389,113,64,21,34
gooseplayer2,com.gooseplayer2.JPanels,MusicPanel.new KeyEventDispatcher() {...},12,6,2,0,4,1,2,1,1,1
gooseplayer2,com.gooseplayer2.JPanels,FilePanel,25,160,2,4,7,33,3,3,1,2
gooseplayer2,com.gooseplayer2.JPanels,MusicPanel,149,412,39,30,45,77,35,16,5,7
gooseplayer2,com.gooseplayer2.JPanels,AudioPlayerSpy,14,119,2,0,3,38,3,15,2,15
gooseplayer2,com.gooseplayer2.JPanels,MusicPanel.Mode,0,21,0,0,0,1,0,1,0,1
gooseplayer2,com.gooseplayer2.JPanels,RadioPlayer.IcyMetadataInputStream,166,0,20,0,41,0,15,0,5,0
gooseplayer2,com.gooseplayer2.JPanels,MusicPlayer.LoopListener,16,11,3,1,3,3,2,2,0,2
gooseplayer2,com.gooseplayer2.JPanels,RadioPlayer,1543,0,190,0,368,0,127,0,32,0
gooseplayer2,com.gooseplayer2,MainFrame,303,388,34,12,80,79,29,8,8,6
gooseplayer2,com.gooseplayer2,Config,1085,135,78,12,196,33,55,7,7,6
gooseplayer2,com.gooseplayer2,DropFileHandler,9,34,2,2,5,11,2,3,0,3
gooseplayer2,com.gooseplayer2,MainFrame.new WindowAdapter() {...},7,6,0,0,2,1,1,1,1,1
gooseplayer2,com.gooseplayer2,MainFrame.new ActionListener() {...},4,6,0,0,2,1,1,1,1,1
gooseplayer2,com.gooseplayer2,MainFrame.new SimpleFileVisitor() {...},30,0,0,0,3,0,2,0,2,0
gooseplayer2,com.gooseplayer2,Config.new ActionListener() {...},42,0,0,0,12,0,2,0,2,0
gooseplayer2,com.gooseplayer2,Config.new ActionListener() {...},37,0,0,0,10,0,2,0,2,0
gooseplayer2,com.gooseplayer2,Main,15,0,0,0,8,0,3,0,3,0
